DZ_Nr,Koor_WGS84_N,Koor_WGS84_E,Anmerkungen
9774,48.20593508,11.40454843,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9215,48.22791778,11.60643265,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9212,48.15746696,11.74935711,
9213,48.13373584,11.75912289,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9220,48.19020662,11.43756758,Schleifendefekt zeitweise in 2013
9219,48.1556177,11.39938406,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9218,48.20668853,11.65240389,Schleifendefekt zeitweise in 2013
9211,48.18335095,11.72185751,
9155,48.22261325,11.52123881,
9244,48.07969138,11.73510692,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9150,48.00512629,11.39575707,
9221,48.09064708,11.5907296,Schleifendefekt zeitweise in 2013
9270,48.71583649,10.79623811,Schleifendefekt zeitweise in 2013
9360,47.60318071,11.18641414,Baustelle zeitweise in 2013 und Gerätedefekt zeitweise in 2012
9361,47.58494014,11.17206035,Baustelle in 2013 und Gerätedefekt in 2012 / Keine Fahrzeugartenanalyse in 2013
9107,47.51196683,11.10769134,Baustelle in 2013 und Gerätedefekt in 2012
9800,48.1373151,11.3938634,Keine auswertbaren Daten in 2013
9129,48.49030358,10.86071245,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9274,47.42308252,11.25917976,Baustelle zeitweise in 2013 und zeitweise in 2012
9353,47.55757867,11.13774058,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9350,47.55961117,11.13819803,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9351,47.5558566,11.13701849,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9945,49.33063958,11.06647762,
9271,49.03261038,10.98811297,Baustelle zeitweise in 2013 und Datenübertragungsprobleme zeitweise in 2012
9276,49.00098276,12.21575131,Schleifendefekt zeitweise in 2013 und in 2012
9273,49.32055684,11.33657225,Baustelle zeitweise in 2013 und in 2012
9275,49.76082402,10.10218023,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9272,49.6456596,10.43432105,Baustelle zeitweise in 2013 und zeitweise in 2012
9295,48.90572985,12.48228135,Ausweichverkehr durch Hochwasser im Juni 2013
9277,49.12171737,13.2021294,Baustelle in 2013 und Gerätedefekt in 2012
9401,48.87255099,12.96001595,Schleifendefekt in 2013 / Hochwasser im Juni 2013
9310,48.50022972,12.0626537,
9850,48.23283959,11.64117236,Schleifendefekt in 2013 und in 2012 / Nur Kfz in 2012
9830,48.0647167,11.51611229,Schleifendefekt in 2013 und in 2012
9380,48.01783002,10.7229551,Baustelle in 2013 und Schleifendefekt zeitweise in 2012
9175,47.74394717,10.35884075,
9125,48.87081927,13.68566766,Baustelle in 2013 und Schleifendefekt in 2012
